time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1755754325,10.0,9.280068728522336,11.0,121.933125
1755754330,10.0,9.288659793814432,11.0,125.555
1755754335,10.0,9.297250859106528,11.0,129.176875
1755754340,10.0,9.305841924398624,11.0,131.35
1755754345,10.0,9.31443298969072,11.0,123.6233333333333
1755754350,10.0,9.323024054982817,11.0,121.7547540983607
1755754355,10.0,9.331615120274913,11.0,122.8629508196721
1755754360,10.0,9.340206185567009,11.0,123.9711475409836
1755754365,10.0,9.348797250859105,11.0,125.0793442622951
1755754370,10.0,9.357388316151201,11.0,126.1875409836066
1755754375,10.0,9.365979381443298,11.0,127.295737704918
1755754380,10.0,9.374570446735394,11.0,128.4039344262295
1755754385,10.0,9.38316151202749,11.0,129.512131147541
1755754390,10.0,9.391752577319586,11.0,130.6203278688525
1755754395,10.0,9.400343642611682,11.0,131.7285245901639
1755754400,10.0,9.408934707903779,11.0,132.8367213114754
1755754405,10.0,9.417525773195875,11.0,133.28
1755754410,10.0,9.426116838487971,11.0,126.52
1755754415,10.0,9.434707903780067,11.0,133.28
1755754420,10.0,9.443298969072163,11.0,133.28
1755754425,10.0,9.45189003436426,11.0,121.69
1755754430,10.0,9.460481099656356,11.0,121.3683333333333
1755754435,10.0,9.469072164948452,11.0,121.3683333333333
1755754440,10.0,9.477663230240548,11.0,133.28
1755754445,10.0,9.486254295532644,11.0,133.28
1755754450,10.0,9.49484536082474,11.0,126.8411111111111
1755754455,10.0,9.503436426116837,11.0,130.0605555555556
1755754460,10.0,9.512027491408933,11.0,133.28
1755754465,10.0,9.520618556701029,11.0,133.28
1755754470,10.0,9.529209621993125,11.0,122.9766666666667
1755754475,10.0,9.537800687285221,11.0,124.3017647058824
1755754480,10.0,9.546391752577318,11.0,126.0061764705882
1755754485,10.0,9.554982817869414,11.0,127.7105882352941
1755754490,10.0,9.56357388316151,11.0,129.415
1755754495,10.0,9.572164948453606,11.0,131.1194117647059
1755754500,10.0,9.580756013745702,11.0,132.8238235294118
1755754505,10.0,9.589347079037799,11.0,134.5282352941176
1755754510,10.0,9.597938144329895,11.0,135.21
1755754515,10.0,9.606529209621991,11.0,128.9692307692308
1755754520,10.0,9.615120274914087,11.0,133.4269230769231
1755754525,10.0,9.623711340206183,11.0,135.21
1755754530,10.0,9.63230240549828,11.0,129.415
1755754535,10.0,9.640893470790376,11.0,129.8607692307692
1755754540,10.0,9.649484536082472,11.0,134.3184615384615
1755754545,10.0,9.658075601374568,11.0,135.21
1755754550,10.0,9.666666666666664,11.0,125.56
1755754555,10.0,9.67525773195876,11.0,124.784
1755754560,10.0,9.683848797250857,11.0,125.56
1755754565,10.0,9.692439862542953,11.0,132.6366666666667
1755754570,10.0,9.701030927835049,11.0,135.21
1755754575,10.0,9.709621993127145,11.0,128.4575
1755754580,10.0,9.718213058419241,11.0,130.8720833333333
1755754585,10.0,9.726804123711338,11.0,133.2866666666667
1755754590,10.0,9.735395189003434,11.0,135.70125
1755754595,10.0,9.74398625429553,11.0,137.15
1755754600,10.0,9.752577319587626,11.0,130.0666666666667
1755754605,10.0,9.761168384879722,11.0,135.7
1755754610,10.0,9.769759450171819,11.0,139.08
1755754615,10.0,9.778350515463915,11.0,134.5733333333334
1755754620,10.0,9.786941580756011,11.0,127.49
1755754625,10.0,9.795532646048107,11.0,135.0011111111111
1755754630,10.0,9.804123711340203,11.0,141.01
1755754635,10.0,9.8127147766323,11.0,139.0785714285714
1755754640,10.0,9.821305841924396,11.0,132.898
1755754645,10.0,9.829896907216492,11.0,139.658
1755754650,10.0,9.838487972508588,11.0,141.01
1755754655,10.0,9.847079037800684,11.0,131.7282926829268
